set_code,set_name,printed_set_abbrev,page_base,page_url,db_card_print_id,db_number,db_name,db_variant_key,bulba_number,bulba_name,bulba_lane,bulba_notes,reason
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,55179c65-5c6d-4f66-82c2-c8815ae28abc,DP15,Shinx,,DP15,Shinx,DP Black Star Promos,,canonical_identity_present_but_variant_cardinality_or_lane_differs
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,,,,,DP15,Shinx,DP Black Star Promos,DP Value Pack 2},missing_db_variant_for_existing_canonical_identity
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,6611c72d-5fcb-4253-813f-766b25f2184d,DP25,Tropical Wind,,DP25,Tropical Wind,DP Black Star Promos,2008 World Championships },canonical_identity_present_but_variant_cardinality_or_lane_differs
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,,,,,DP25,Tropical Wind,DP Black Star Promos,2008 World Championships },missing_db_variant_for_existing_canonical_identity
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,3087efa0-9ef8-4365-8820-bcc14e26a7e8,DP48,Tropical Wind,,DP48,Tropical Wind,DP Black Star Promos,2009 World Championships},canonical_identity_present_but_variant_cardinality_or_lane_differs
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,,,,,DP48,Tropical Wind,DP Black Star Promos,2009 World Championships},missing_db_variant_for_existing_canonical_identity
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,d6294823-1b9a-4cfb-a792-00339e238d33,DP05,Tropical Wind,,DP05,Tropical Wind,DP Black Star Promos,2007 World Championships},canonical_identity_present_but_variant_cardinality_or_lane_differs
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,,,,,DP05,Tropical Wind,DP Black Star Promos,2007 World Championships},missing_db_variant_for_existing_canonical_identity
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,660ef1d2-1cf9-4585-a311-3f18b5c0308e,DP07,Cranidos,,DP07,Cranidos,DP Black Star Promos,,canonical_identity_present_but_variant_cardinality_or_lane_differs
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,,,,,DP07,Cranidos,DP Black Star Promos,Mysterious Treasures Two Pack Blisters},missing_db_variant_for_existing_canonical_identity
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,2e484d56-70d9-4883-848b-832ee9c583d1,DP16,Pikachu,,DP16,Pikachu,DP Black Star Promos,,canonical_identity_present_but_variant_cardinality_or_lane_differs
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,,,,,DP16,Pikachu,DP Black Star Promos,DP Value Pack 2},missing_db_variant_for_existing_canonical_identity
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,e4e32bf8-c120-44ed-804d-c7884645f0d5,DP50,Arceus,,DP50,Arceus,DP Black Star Promos,,canonical_identity_present_but_variant_cardinality_or_lane_differs
dpp,DP Black Star Promos,PR-DPP,DP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/DP_Black_Star_Promos_%28TCG%29,,,,,DP50,Arceus,DP Black Star Promos,},missing_db_variant_for_existing_canonical_identity
hsp,HGSS Black Star Promos,PR-HS,HGSS Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/HGSS_Black_Star_Promos_%28TCG%29,dd605037-f2bf-42b9-838a-a1bfe7217f08,HGSS01,Ho-Oh,,HGSS01,Ho-Oh,HGSS Black Star Promos,,canonical_identity_present_but_variant_cardinality_or_lane_differs
hsp,HGSS Black Star Promos,PR-HS,HGSS Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/HGSS_Black_Star_Promos_%28TCG%29,,,,,HGSS01,Ho-Oh,HGSS Black Star Promos,},missing_db_variant_for_existing_canonical_identity
hsp,HGSS Black Star Promos,PR-HS,HGSS Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/HGSS_Black_Star_Promos_%28TCG%29,bc89dd55-b293-49e1-9201-6859af82d601,HGSS02,Lugia,,HGSS02,Lugia,HGSS Black Star Promos,HeartGold & SoulSilver Poster Pack,canonical_identity_present_but_variant_cardinality_or_lane_differs
hsp,HGSS Black Star Promos,PR-HS,HGSS Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/HGSS_Black_Star_Promos_%28TCG%29,,,,,HGSS02,Lugia,HGSS Black Star Promos,HeartGold & SoulSilver Knock Out Collection},missing_db_variant_for_existing_canonical_identity
hsp,HGSS Black Star Promos,PR-HS,HGSS Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/HGSS_Black_Star_Promos_%28TCG%29,8562f89e-b36d-4e25-88d3-da456911d81e,HGSS03,Pikachu,,HGSS03,Pikachu,HGSS Black Star Promos,,canonical_identity_present_but_variant_cardinality_or_lane_differs
hsp,HGSS Black Star Promos,PR-HS,HGSS Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/HGSS_Black_Star_Promos_%28TCG%29,,,,,HGSS03,Pikachu,HGSS Black Star Promos,},missing_db_variant_for_existing_canonical_identity
hsp,HGSS Black Star Promos,PR-HS,HGSS Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/HGSS_Black_Star_Promos_%28TCG%29,7563ffed-0a77-44e8-9c63-71a43939e4c5,HGSS18,Tropical Tidal Wave,,HGSS18,Tropical Tidal Wave,HGSS Black Star Promos,2010 World Championships},canonical_identity_present_but_variant_cardinality_or_lane_differs
hsp,HGSS Black Star Promos,PR-HS,HGSS Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/HGSS_Black_Star_Promos_%28TCG%29,,,,,HGSS18,Tropical Tidal Wave,HGSS Black Star Promos,2010 World Championships},missing_db_variant_for_existing_canonical_identity
mep,MEP Black Star Promos,MEP,MEP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/MEP_Black_Star_Promos_%28TCG%29,cddc521f-ebbe-4460-85d5-d78278672f95,004,Lunatone,,004,Lunatone,MEP Black Star Promos,Mega Evolution Build & Battle Box,canonical_identity_present_but_variant_cardinality_or_lane_differs
mep,MEP Black Star Promos,MEP,MEP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/MEP_Black_Star_Promos_%28TCG%29,,,,,004,Lunatone,MEP Black Star Promos,Mega Evolution Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
mep,MEP Black Star Promos,MEP,MEP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/MEP_Black_Star_Promos_%28TCG%29,26726d70-a78d-4210-9ccc-d79abd215099,009,Alakazam,,009,Alakazam,MEP Black Star Promos,(Mega Gardevoir),canonical_identity_present_but_variant_cardinality_or_lane_differs
mep,MEP Black Star Promos,MEP,MEP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/MEP_Black_Star_Promos_%28TCG%29,,,,,009,Alakazam,MEP Black Star Promos,Mega Evolution Pokémon Center Elite Trainer Box (Mega Gardevoir)},missing_db_variant_for_existing_canonical_identity
mep,MEP Black Star Promos,MEP,MEP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/MEP_Black_Star_Promos_%28TCG%29,a8259bb9-d94d-4aee-af25-28f0a9656a60,010,Riolu,,010,Riolu,MEP Black Star Promos,Mega Evolution Elite Trainer Box (Mega Lucario),canonical_identity_present_but_variant_cardinality_or_lane_differs
