set_code,set_name,printed_set_abbrev,page_base,page_url,db_card_print_id,db_number,db_name,db_variant_key,db_set_code_other,db_set_name_other,bulba_number,bulba_name,bulba_lane,bulba_notes,reason
2012bw,Macdonald's Collection 2012,MCD,McDonald's Collection 2012,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2012_%28TCG%29,f3c4fc8a-094c-44b7-8525-41f43e83f8a0,3,Dwebble,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2012bw,Macdonald's Collection 2012,MCD,McDonald's Collection 2012,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2012_%28TCG%29,b64382f9-3590-4e37-833c-83645e88da49,6,Emolga,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2012bw,Macdonald's Collection 2012,MCD,McDonald's Collection 2012,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2012_%28TCG%29,5b456672-b78e-4f03-9bde-afdffe3a2a3f,8,Drilbur,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2014xy,Macdonald's Collection 2014,MCD,McDonald's Collection 2014,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2014_%28TCG%29,8606b864-06ad-4be3-a42e-ef65946bd031,1,Weedle,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2014xy,Macdonald's Collection 2014,MCD,McDonald's Collection 2014,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2014_%28TCG%29,0a0cee3e-2cb0-4e1b-a1e8-0bc6439497cb,5,Pikachu,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2014xy,Macdonald's Collection 2014,MCD,McDonald's Collection 2014,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2014_%28TCG%29,f4d8a6fe-b941-458c-ba09-897251b09186,9,Swirlix,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2014xy,Macdonald's Collection 2014,MCD,McDonald's Collection 2014,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2014_%28TCG%29,d4909e73-3a6a-4220-9c38-891a46b3e1a2,3,Fennekin,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2014xy,Macdonald's Collection 2014,MCD,McDonald's Collection 2014,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2014_%28TCG%29,9cf7c2af-db3c-441b-955e-01427de28718,4,Froakie,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2014xy,Macdonald's Collection 2014,MCD,McDonald's Collection 2014,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2014_%28TCG%29,870cab4a-c8bd-4baa-a18b-7c0cf3a9186a,6,Inkay,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2014xy,Macdonald's Collection 2014,MCD,McDonald's Collection 2014,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2014_%28TCG%29,c7ede664-2a26-48d8-8679-1881ce11bdba,7,Honedge,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2014xy,Macdonald's Collection 2014,MCD,McDonald's Collection 2014,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2014_%28TCG%29,52b511a9-fda4-43ef-9267-140a33cccf81,8,Snubbull,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2014xy,Macdonald's Collection 2014,MCD,McDonald's Collection 2014,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2014_%28TCG%29,2b1735f5-09d8-4bf5-9b75-efa66e88d70d,10,Bunnelby,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
