set_code,set_name,printed_set_abbrev,db_card_print_id,db_number,db_name,db_variant_key,classification,reason
tk-bw-z,BW trainer Kit (Zoroark),TK,35a189d0-d586-4a34-9208-18132089a3d4,11,PlusPower,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,47588d1d-bcb8-4ed9-a94f-1d8e485a8be5,12,Patrat,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,761f4279-cab3-49d5-a64b-2dc73a21167c,13,Zorua,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,2854c7cd-03f8-4d30-8302-70a0294c0722,14,Pidove,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,2d9a22c9-d9db-4ea2-94e6-6d2d66d27b9f,15,Tranquill,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,a06ff399-8d99-434e-8a22-7d6276147298,16,Energy Retrieval,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,57af4449-ba8e-4bdf-ae9f-3af846ec3f2e,17,Zoroark,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,70a57af8-9fce-430b-94ac-98a93518e7f4,18,Pokémon Communication,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,52ef0dda-afcc-4b84-b609-3c03c30c882d,19,Minccino,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,0522aa77-81a3-4203-bee9-e7817294b660,2,Watchog,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,af97b2ac-4ab7-44a7-bc0a-a32c52565613,20,Darkness Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,28457a5b-4dfc-492e-841c-a94c38b48ca4,21,Pidove,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,70594aea-3d3c-49a3-9759-70cba15c13d2,22,Darkness Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,a95f3901-955b-4432-b71f-938159f2c3e9,23,Zorua,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,e42910ff-8653-4d85-b454-76da3f68dc50,24,Darkness Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,c80389b7-c7e1-453f-a783-0735b5a4436d,25,Purrloin,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,0bb4356c-69dd-4ae9-a6cd-fa904cb70852,26,Darkness Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,8cae8c6e-b5d5-429a-b684-84b8f6378701,27,Energy Search,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,617c4ebb-0597-48c6-82ee-19ad63e7ab4f,28,Darkness Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,27323123-8d64-4a2d-83ce-16adeaf492b8,29,Patrat,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,17317f34-96eb-462e-8025-01a0bcded5d1,3,Darkness Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,46ddc9d9-e477-49f7-8dc8-09fbb01f29a4,30,Zoroark,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,6f579954-1f69-44bc-9fc0-ab2116adc7c9,4,Minccino,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,aa4df81e-7fbe-4afe-b0cd-4f7528a3e0ff,5,Darkness Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,f25a6039-46e3-4247-a92d-d72fe1713aa0,6,Darkness Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,7302b8b6-2f76-4b7e-8de3-cd24550cc97c,7,Darkness Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,1174ef7e-7c85-4420-8780-2ed84a676a23,8,Darkness Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-bw-z,BW trainer Kit (Zoroark),TK,234d6e22-5a8e-4d21-8dc2-7c55d73fb552,9,Darkness Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-l,DP trainer Kit (Lucario),TK,8c9b6f77-d9b7-4d8f-90b1-d9956e249723,1,Geodude,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-l,DP trainer Kit (Lucario),TK,8298f5d8-7ae7-4b2e-84db-97a33f971cd4,10,Quick Ball,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-l,DP trainer Kit (Lucario),TK,bc01e98c-cbcd-41d0-9ba9-1637ead8bd45,2,Graveler,,not_listed_on_bulbapedia_index,no_index_match
