"table","id","name","number","set_code","tried_1","tried_2","tried_3"
"card_prints","f239b9fe-c7cb-4e95-8c82-9fb381c6c061","Electrode","H07","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H07/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H07/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H07/high.webp"
"card_prints","d73c9f23-ef6e-4562-b3cb-8a1e77978a81","Entei","H08","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H08/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H08/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H08/high.webp"
"card_prints","189d605e-1fbd-42ed-a2f8-f12a722aa70b","Espeon","H09","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H09/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H09/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H09/high.webp"
"card_prints","8bd987df-4148-4190-aa87-2c55be0145af","Exeggutor","H10","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H10/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H10/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H10/high.webp"
"card_prints","70452b07-9665-4520-84a2-087834a7fd2f","Houndoom","H11","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H11/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H11/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H11/high.webp"
"card_prints","ab1357a0-0bf1-4bfb-bf39-c8171f69c3c0","Hypno","H12","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H12/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H12/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H12/high.webp"
"card_prints","837af326-f745-41e1-8623-26819ce51d18","Jumpluff","H13","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H13/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H13/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H13/high.webp"
"card_prints","0b4f15ec-1896-4bee-916d-c4685de4bb70","Kingdra","H14","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H14/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H14/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H14/high.webp"
"card_prints","a7b1d970-144c-41f0-bfda-402074f18de8","Lanturn","H15","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H15/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H15/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H15/high.webp"
"card_prints","b97101c0-72f8-4712-80b6-a9d57bf4ba63","Magneton","H16","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H16/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H16/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H16/high.webp"
"card_prints","50772bdf-d442-4aa8-bfae-823e4b2520c0","Muk","H17","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H17/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H17/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H17/high.webp"
"card_prints","51c18202-1953-4203-b6a0-20da493917f7","Nidoking","H18","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H18/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H18/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H18/high.webp"
"card_prints","a9df44e3-3f7f-4a41-865d-90c20da3982d","Ninetales","H19","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H19/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H19/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H19/high.webp"
"card_prints","44234a5f-4f97-4e90-8ca9-116f097d94ff","Octillery","H20","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H20/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H20/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H20/high.webp"
"card_prints","5365213d-7972-4e2b-ac01-2adf5153f6f4","Scizor","H21","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H21/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H21/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H21/high.webp"
"card_prints","a58c0d83-de61-4af0-ad5f-f2609d957a98","Slowking","H22","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H22/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H22/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H22/high.webp"
"card_prints","28460a6a-d663-463a-bdae-b8ab55a0888b","Steelix","H23","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H23/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H23/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H23/high.webp"
"card_prints","1aa13a90-58a5-46ef-b511-0d5f712590b1","Sudowoodo","H24","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H24/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H24/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H24/high.webp"
"card_prints","a87a0fc9-6807-4aac-b7df-d31b8fbd8d2a","Suicune","H25","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H25/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H25/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H25/high.webp"
"card_prints","570d5cc8-0d75-4113-83d1-3152c9487fe1","Tentacruel","H26","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H26/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H26/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H26/high.webp"
"card_prints","971bedef-93ee-4c33-ad37-f5acf0866560","Togetic","H27","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H27/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H27/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H27/high.webp"
"card_prints","0fe5a995-dcf3-4edd-9233-495fded02793","Tyranitar","H28","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H28/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H28/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H28/high.webp"
"card_prints","bfb83c98-505d-415c-a1f2-5981c53c6e5b","Umbreon","H29","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H29/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H29/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H29/high.webp"
"card_prints","2a2ea67a-e179-4b95-ad6c-5d06875f1d3b","Victreebel","H30","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H30/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H30/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H30/high.webp"
"card_prints","e9faf807-d6e4-4472-968b-edc64fbe5c86","Vileplume","H31","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H31/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H31/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H31/high.webp"
"card_prints","9539b121-4e04-40b6-8a60-10a034e354f3","Zapdos","H32","ecard2","https://assets.tcgdex.net/en/ecard/ecard2/H32/high.png","https://assets.tcgdex.net/en/ecard/ecard2/H32/low.png","https://assets.tcgdex.net/en/ecard/ecard2/H32/high.webp"
"card_prints","30a4a605-d8d4-46be-82d9-7ce66f069675","Alakazam","H01","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H01/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H01/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H01/high.webp"
"card_prints","bf59cb32-ba2d-489c-b4c0-35c2164c89b4","Arcanine","H02","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H02/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H02/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H02/high.webp"
"card_prints","7ee89bf7-e204-4c4e-922a-1a21cb23e3bb","Articuno","H03","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H03/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H03/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H03/high.webp"
"card_prints","b51d3899-2e03-4b41-be11-364e817b10a8","Beedrill","H04","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H04/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H04/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H04/high.webp"
"card_prints","6779c8c4-dde4-47e9-9dc0-47981e9579e1","Crobat","H05","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H05/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H05/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H05/high.webp"
"card_prints","0fa62b7a-2a45-4f02-914c-e825d5dfe5ee","Dewgong","H06","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H06/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H06/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H06/high.webp"
"card_prints","63ec9209-7f4f-4f98-b4f7-69ea3a5876e2","Flareon","H07","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H07/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H07/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H07/high.webp"
"card_prints","6518a9b3-aca1-40cc-958b-541a419a1cd9","Forretress","H08","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H08/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H08/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H08/high.webp"
"card_prints","a480e9fa-731a-4d36-9bbe-0d2c7bb8e3aa","Gengar","H09","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H09/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H09/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H09/high.webp"
"card_prints","b5d31bbf-6d07-412e-bb18-507e711aed94","Gyarados","H10","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H10/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H10/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H10/high.webp"
"card_prints","956096cc-7e18-49af-8cfd-b87db76ea7a8","Houndoom","H11","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H11/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H11/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H11/high.webp"
"card_prints","0f28ee7f-a14f-4dd1-b450-b855521c1097","Jolteon","H12","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H12/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H12/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H12/high.webp"
"card_prints","4d6fe71f-45d3-443a-b3d4-eceb221b75f3","Kabutops","H13","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H13/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H13/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H13/high.webp"
"card_prints","2488ce18-c271-4fc2-b73e-e5e532eb4f59","Ledian","H14","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H14/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H14/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H14/high.webp"
"card_prints","eb8375e4-73e9-4930-b7f6-c418d498b289","Machamp","H15","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H15/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H15/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H15/high.webp"
"card_prints","fade7e9e-00c9-4e76-a73a-9ce903e43b92","Magcargo","H16","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H16/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H16/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H16/high.webp"
"card_prints","06b017d7-b313-4fce-9bbd-4b5d06b51356","Magcargo","H17","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H17/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H17/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H17/high.webp"
