timestamp,set_code,set_name,page,imported,status
2025-09-04T13:48:20,base1,"Base",1,102,OK
2025-09-04T13:48:59,base2,"Jungle",1,64,OK
2025-09-04T13:49:04,basep,"Wizards Black Star Promos",1,53,OK
2025-09-04T13:49:29,base3,"Fossil",1,62,OK
2025-09-04T13:50:08,base4,"Base Set 2",1,130,OK
2025-09-04T13:50:45,base5,"Team Rocket",1,83,OK
2025-09-04T13:51:34,gym1,"Gym Heroes",1,0,ERROR
2025-09-04T13:52:10,gym2,"Gym Challenge",1,132,OK
2025-09-04T13:52:49,neo1,"Neo Genesis",1,111,OK
2025-09-04T13:53:15,neo2,"Neo Discovery",1,75,OK
2025-09-04T13:54:23,si1,"Southern Islands",1,0,ERROR
2025-09-04T13:54:37,neo3,"Neo Revelation",1,66,OK
2025-09-04T13:55:33,neo4,"Neo Destiny",1,113,OK
2025-09-04T13:55:47,base6,"Legendary Collection",1,110,OK
2025-09-04T13:56:18,ecard1,"Expedition Base Set",1,165,OK
2025-09-04T13:57:16,ecard2,"Aquapolis",1,182,OK
2025-09-04T13:57:59,ecard3,"Skyridge",1,182,OK
2025-09-04T13:58:10,ex1,"Ruby & Sapphire",1,109,OK
2025-09-04T13:58:59,ex2,"Sandstorm",1,0,ERROR
2025-09-04T13:59:54,ex3,"Dragon",1,100,OK
2025-09-04T14:00:04,np,"Nintendo Black Star Promos",1,40,OK
2025-09-04T14:00:30,ex4,"Team Magma vs Team Aqua",1,97,OK
2025-09-04T14:00:41,ex5,"Hidden Legends",1,102,OK
2025-09-04T14:01:40,ex6,"FireRed & LeafGreen",1,116,OK
2025-09-04T14:02:42,pop1,"POP Series 1",1,17,OK
2025-09-04T14:03:00,ex7,"Team Rocket Returns",1,111,OK
2025-09-04T14:03:09,ex8,"Deoxys",1,108,OK
2025-09-04T14:03:13,ex9,"Emerald",1,107,OK
2025-09-04T14:03:25,ex10,"Unseen Forces",1,145,OK
2025-09-04T14:03:36,pop2,"POP Series 2",1,17,OK
2025-09-04T14:04:44,ex11,"Delta Species",1,0,ERROR
2025-09-04T14:05:00,ex12,"Legend Maker",1,93,OK
2025-09-04T14:05:12,pop3,"POP Series 3",1,17,OK
2025-09-04T14:05:19,ex13,"Holon Phantoms",1,111,OK
2025-09-04T14:06:18,ex14,"Crystal Guardians",1,100,OK
2025-09-04T14:06:18,pop4,"POP Series 4",1,0,OK
2025-09-04T14:06:19,ex15,"Dragon Frontiers",1,0,OK
2025-09-04T14:06:20,pop5,"POP Series 5",1,0,OK
2025-09-04T14:06:20,ex16,"Power Keepers",1,0,OK
2025-09-04T14:06:21,dp1,"Diamond & Pearl",1,0,OK
2025-09-04T14:06:22,dpp,"DP Black Star Promos",1,0,OK
2025-09-04T14:06:22,dp2,"Mysterious Treasures",1,0,OK
2025-09-04T14:06:44,pop6,"POP Series 6",1,0,OK
2025-09-04T14:06:45,dp3,"Secret Wonders",1,0,OK
2025-09-04T14:06:45,dp4,"Great Encounters",1,0,OK
2025-09-04T14:06:46,pop7,"POP Series 7",1,0,OK
2025-09-04T14:06:47,dp5,"Majestic Dawn",1,0,OK
2025-09-04T14:06:47,dp6,"Legends Awakened",1,0,OK
2025-09-04T14:06:48,pop8,"POP Series 8",1,0,OK
2025-09-04T14:06:49,dp7,"Stormfront",1,0,OK
2025-09-04T14:06:49,pl1,"Platinum",1,0,OK
2025-09-04T14:06:50,pop9,"POP Series 9",1,0,OK
2025-09-04T14:06:50,pl2,"Rising Rivals",1,0,OK
2025-09-04T14:07:00,pl3,"Supreme Victors",1,153,OK
2025-09-04T14:08:02,pl4,"Arceus",1,111,OK
2025-09-04T14:08:26,ru1,"Pokémon Rumble",1,0,OK
2025-09-04T14:08:27,hgss1,"HeartGold & SoulSilver",1,0,OK
2025-09-04T14:08:27,hsp,"HGSS Black Star Promos",1,0,OK
2025-09-04T14:08:28,hgss2,"HS—Unleashed",1,0,OK
2025-09-04T14:08:29,hgss3,"HS—Undaunted",1,0,OK
2025-09-04T14:08:29,hgss4,"HS—Triumphant",1,0,OK
2025-09-04T14:08:30,col1,"Call of Legends",1,0,OK
2025-09-04T14:08:34,bwp,"BW Black Star Promos",1,0,OK
2025-09-04T14:08:34,bw1,"Black & White",1,0,OK
2025-09-04T14:08:35,mcd11,"McDonald's Collection 2011",1,0,OK
2025-09-04T14:08:36,bw2,"Emerging Powers",1,0,OK
2025-09-04T14:08:39,bw3,"Noble Victories",1,0,OK
2025-09-04T14:08:40,bw4,"Next Destinies",1,0,OK
2025-09-04T14:08:43,bw5,"Dark Explorers",1,0,OK
2025-09-04T14:08:44,mcd12,"McDonald's Collection 2012",1,0,OK
2025-09-04T14:08:45,bw6,"Dragons Exalted",1,0,OK
2025-09-04T14:08:46,dv1,"Dragon Vault",1,0,OK
2025-09-04T14:08:46,bw7,"Boundaries Crossed",1,0,OK
2025-09-04T14:08:50,bw8,"Plasma Storm",1,0,OK
2025-09-04T14:08:50,bw9,"Plasma Freeze",1,0,OK
2025-09-04T14:08:51,bw10,"Plasma Blast",1,0,OK
2025-09-04T14:08:51,xyp,"XY Black Star Promos",1,0,OK
2025-09-04T14:08:52,bw11,"Legendary Treasures",1,0,OK
2025-09-04T14:08:59,xy0,"Kalos Starter Set",1,0,OK
2025-09-04T14:08:59,xy1,"XY",1,0,OK
2025-09-04T14:09:00,xy2,"Flashfire",1,0,OK
2025-09-04T14:09:28,xy3,"Furious Fists",1,0,ERROR
2025-09-04T14:10:16,xy4,"Phantom Forces",1,0,ERROR
2025-09-04T14:10:45,xy5,"Primal Clash",1,0,ERROR
2025-09-04T14:10:46,dc1,"Double Crisis",1,0,OK
2025-09-04T14:10:46,xy6,"Roaring Skies",1,0,OK
2025-09-04T14:10:47,xy7,"Ancient Origins",1,0,OK
2025-09-04T14:10:50,xy8,"BREAKthrough",1,0,OK
2025-09-04T14:10:51,xy9,"BREAKpoint",1,0,OK
2025-09-04T14:10:52,g1,"Generations",1,0,OK
2025-09-04T14:10:52,xy10,"Fates Collide",1,0,OK
2025-09-04T14:10:53,xy11,"Steam Siege",1,0,OK
2025-09-04T14:10:56,mcd16,"McDonald's Collection 2016",1,0,OK
2025-09-04T14:10:57,xy12,"Evolutions",1,0,OK
2025-09-04T14:10:58,sm1,"Sun & Moon",1,0,OK
2025-09-04T14:11:01,smp,"SM Black Star Promos",1,0,OK
2025-09-04T14:11:01,sm2,"Guardians Rising",1,0,OK
2025-09-04T14:11:02,sm3,"Burning Shadows",1,0,OK
2025-09-04T14:11:03,sm35,"Shining Legends",1,0,OK
2025-09-04T14:11:03,sm4,"Crimson Invasion",1,0,OK
