timestamp,set_code,page,imported,status,source
2025-09-05T11:31:49,sm6,1,0,OK,tcgplayer
2025-09-05T11:31:54,sm7,1,0,OK,tcgplayer
2025-09-05T11:32:02,sm75,1,0,OK,tcgplayer
2025-09-05T11:32:21,sm8,1,0,OK,tcgplayer
2025-09-05T11:32:48,sm9,1,0,OK,tcgplayer
2025-09-05T11:32:55,det1,1,0,OK,tcgplayer
2025-09-05T11:33:11,sm10,1,0,OK,tcgplayer
2025-09-05T11:33:51,sm11,1,0,OK,tcgplayer
2025-09-05T11:34:29,sm11,2,0,OK,tcgplayer
2025-09-05T11:34:35,sm115,1,0,OK,tcgplayer
2025-09-05T11:34:44,sma,1,0,OK,tcgplayer
2025-09-05T11:34:49,mcd19,1,0,OK,tcgplayer
2025-09-05T11:34:59,sm12,1,0,OK,tcgplayer
2025-09-05T11:35:24,sm12,2,0,OK,tcgplayer
2025-09-05T11:35:38,swshp,1,0,OK,tcgplayer
2025-09-05T11:35:49,swshp,2,0,OK,tcgplayer
2025-09-05T11:36:22,swsh1,1,0,OK,tcgplayer
2025-09-05T11:36:48,swsh2,1,0,OK,tcgplayer
2025-09-05T11:37:13,swsh3,1,0,OK,tcgplayer
2025-09-05T11:37:15,swsh35,1,0,OK,tcgplayer
2025-09-05T11:37:16,swsh4,1,0,OK,tcgplayer
2025-09-05T11:37:17,swsh45,1,0,OK,tcgplayer
2025-09-05T11:37:19,swsh45sv,1,0,OK,tcgplayer
2025-09-05T11:37:20,swsh5,1,0,OK,tcgplayer
2025-09-05T11:37:22,swsh6,1,0,OK,tcgplayer
2025-09-05T11:37:25,swsh7,1,0,OK,tcgplayer
2025-09-05T11:37:26,cel25,1,25,OK,tcgplayer
2025-09-05T11:37:30,cel25c,1,0,ERROR,tcgplayer
2025-09-05T11:37:31,mcd14,1,0,OK,tcgplayer
2025-09-05T11:37:32,mcd15,1,0,OK,tcgplayer
2025-09-05T11:37:33,mcd18,1,0,OK,tcgplayer
2025-09-05T11:37:34,mcd17,1,0,OK,tcgplayer
2025-09-05T11:37:34,mcd21,1,0,OK,tcgplayer
2025-09-05T11:37:37,bp,1,9,OK,tcgplayer
2025-09-05T11:37:37,swsh8,1,0,OK,tcgplayer
2025-09-05T11:37:39,swsh8,2,0,OK,tcgplayer
2025-09-05T11:37:39,fut20,1,0,OK,tcgplayer
2025-09-05T11:37:40,tk1a,1,0,OK,tcgplayer
2025-09-05T11:37:41,tk1b,1,0,OK,tcgplayer
2025-09-05T11:37:41,tk2a,1,0,OK,tcgplayer
2025-09-05T11:37:42,tk2b,1,0,OK,tcgplayer
2025-09-05T11:37:44,swsh9,1,0,OK,tcgplayer
2025-09-05T11:37:44,swsh9tg,1,0,OK,tcgplayer
2025-09-05T11:37:45,swsh10,1,0,OK,tcgplayer
2025-09-05T11:37:46,swsh10tg,1,0,OK,tcgplayer
2025-09-05T11:37:46,pgo,1,0,OK,tcgplayer
2025-09-05T11:37:48,swsh11,1,0,OK,tcgplayer
2025-09-05T11:37:49,swsh11tg,1,0,OK,tcgplayer
2025-09-05T11:37:50,swsh12,1,0,OK,tcgplayer
2025-09-05T11:37:51,swsh12tg,1,0,OK,tcgplayer
2025-09-05T11:37:52,mcd22,1,0,OK,tcgplayer
2025-09-05T11:37:54,swsh12pt5,1,0,OK,tcgplayer
2025-09-05T11:37:57,swsh12pt5gg,1,0,OK,tcgplayer
2025-09-05T11:37:58,sv1,1,0,OK,tcgplayer
2025-09-05T11:37:59,sv1,2,0,OK,tcgplayer
2025-09-05T11:38:00,svp,1,0,OK,tcgplayer
2025-09-05T11:38:01,sv2,1,0,OK,tcgplayer
2025-09-05T11:38:02,sv2,2,0,OK,tcgplayer
2025-09-05T11:38:03,sve,1,0,OK,tcgplayer
2025-09-05T11:38:04,sv3,1,0,OK,tcgplayer
2025-09-05T11:38:06,sv3pt5,1,0,OK,tcgplayer
2025-09-05T11:38:07,sv4,1,0,OK,tcgplayer
2025-09-05T11:38:07,sv4,2,0,OK,tcgplayer
2025-09-05T11:38:08,sv4pt5,1,0,OK,tcgplayer
2025-09-05T11:38:10,sv5,1,0,OK,tcgplayer
2025-09-05T11:38:10,sv6,1,226,OK,tcgplayer
2025-09-05T11:38:11,sv6pt5,1,0,OK,tcgplayer
2025-09-05T11:38:12,sv7,1,0,OK,tcgplayer
2025-09-05T11:38:14,sv8,1,0,OK,tcgplayer
2025-09-05T11:38:14,sv8,2,0,OK,tcgplayer
2025-09-05T11:38:16,sv8pt5,1,0,OK,tcgplayer
2025-09-05T11:38:19,sv9,1,0,OK,tcgplayer
2025-09-05T11:38:22,sv10,1,0,OK,tcgplayer
2025-09-05T11:38:32,zsv10pt5,1,0,OK,tcgplayer
2025-09-05T11:38:34,rsv10pt5,1,0,OK,tcgplayer
