timestamp,set_code,page,imported,status,source
2025-09-05T10:50:02,base1,1,101,OK,tcgplayer
2025-09-05T10:50:05,base2,1,16,OK,tcgplayer
2025-09-05T10:51:01,basep,1,51,OK,tcgplayer
2025-09-05T10:51:49,base3,1,15,OK,tcgplayer
2025-09-05T10:52:20,base4,1,130,OK,tcgplayer
2025-09-05T10:52:31,base5,1,18,OK,tcgplayer
2025-09-05T10:52:56,gym1,1,0,OK,tcgplayer
2025-09-05T10:53:26,gym2,1,0,OK,tcgplayer
2025-09-05T10:54:03,neo1,1,0,OK,tcgplayer
2025-09-05T10:54:37,neo2,1,0,OK,tcgplayer
2025-09-05T10:54:57,si1,1,0,OK,tcgplayer
2025-09-05T10:54:59,neo3,1,0,OK,tcgplayer
2025-09-05T10:55:13,neo4,1,0,OK,tcgplayer
2025-09-05T10:55:40,base6,1,110,OK,tcgplayer
2025-09-05T10:56:22,ecard1,1,0,OK,tcgplayer
2025-09-05T10:56:38,ecard2,1,0,OK,tcgplayer
2025-09-05T10:57:18,ecard3,1,0,OK,tcgplayer
2025-09-05T10:57:43,ex1,1,0,OK,tcgplayer
2025-09-05T10:57:46,ex2,1,0,OK,tcgplayer
2025-09-05T10:57:57,ex3,1,0,OK,tcgplayer
2025-09-05T10:58:02,np,1,0,OK,tcgplayer
2025-09-05T10:58:10,ex4,1,0,OK,tcgplayer
2025-09-05T10:58:24,ex5,1,0,OK,tcgplayer
2025-09-05T10:58:39,ex6,1,0,OK,tcgplayer
2025-09-05T10:58:40,pop1,1,0,OK,tcgplayer
2025-09-05T10:59:15,ex7,1,0,OK,tcgplayer
2025-09-05T10:59:18,ex8,1,0,OK,tcgplayer
2025-09-05T10:59:31,ex9,1,0,OK,tcgplayer
2025-09-05T10:59:36,ex10,1,0,OK,tcgplayer
2025-09-05T10:59:57,pop2,1,0,OK,tcgplayer
2025-09-05T11:00:58,ex11,1,0,OK,tcgplayer
2025-09-05T11:01:18,ex12,1,0,OK,tcgplayer
2025-09-05T11:01:58,pop3,1,0,OK,tcgplayer
2025-09-05T11:02:24,ex13,1,0,OK,tcgplayer
2025-09-05T11:02:34,ex14,1,0,OK,tcgplayer
2025-09-05T11:03:04,pop4,1,0,OK,tcgplayer
2025-09-05T11:04:03,ex15,1,0,OK,tcgplayer
2025-09-05T11:04:29,pop5,1,0,OK,tcgplayer
2025-09-05T11:04:44,ex16,1,0,OK,tcgplayer
2025-09-05T11:05:14,dp1,1,0,OK,tcgplayer
2025-09-05T11:05:15,dpp,1,0,OK,tcgplayer
2025-09-05T11:06:45,dp2,1,0,OK,tcgplayer
2025-09-05T11:06:59,pop6,1,0,OK,tcgplayer
2025-09-05T11:07:28,dp3,1,0,OK,tcgplayer
2025-09-05T11:08:06,dp4,1,0,OK,tcgplayer
2025-09-05T11:08:25,pop7,1,0,OK,tcgplayer
2025-09-05T11:08:37,dp5,1,0,OK,tcgplayer
